,ticker,nav_date,nav,announcement_date
39,ARCC,2016-03-31,16.5,2016-05-04
79,MAIN,2016-03-31,21.25,2016-05-05
38,ARCC,2016-06-30,16.58,2016-08-03
78,MAIN,2016-06-30,21.5,2016-08-04
37,ARCC,2016-09-30,16.59,2016-11-02
77,MAIN,2016-09-30,21.9,2016-11-03
36,ARCC,2016-12-31,16.45,2017-02-22
76,MAIN,2016-12-31,22.1,2017-02-23
35,ARCC,2017-03-31,16.53,2017-05-03
75,MAIN,2017-03-31,22.45,2017-05-04
34,ARCC,2017-06-30,16.54,2017-08-02
74,MAIN,2017-06-30,22.85,2017-08-03
33,ARCC,2017-09-30,16.49,2017-11-02
73,MAIN,2017-09-30,23.15,2017-11-02
32,ARCC,2017-12-31,16.65,2018-02-13
72,MAIN,2017-12-31,23.53,2018-02-22
31,ARCC,2018-03-31,16.96,2018-05-02
71,MAIN,2018-03-31,23.65,2018-05-03
30,ARCC,2018-06-30,17.05,2018-08-01
70,MAIN,2018-06-30,23.95,2018-08-02
29,ARCC,2018-09-30,17.16,2018-10-31
69,MAIN,2018-09-30,24.71,2018-11-01
28,ARCC,2018-12-31,17.12,2019-02-12
68,MAIN,2018-12-31,24.09,2019-02-21
27,ARCC,2019-03-31,17.21,2019-04-30
67,MAIN,2019-03-31,24.2,2019-05-09
26,ARCC,2019-06-30,17.27,2019-07-30
66,MAIN,2019-06-30,24.3,2019-08-08
25,ARCC,2019-09-30,17.26,2019-10-30
65,MAIN,2019-09-30,23.46,2019-11-07
24,ARCC,2019-12-31,17.32,2020-02-12
64,MAIN,2019-12-31,23.91,2020-02-27
23,ARCC,2020-03-31,15.58,2020-05-05
63,MAIN,2020-03-31,20.91,2020-05-07
22,ARCC,2020-06-30,15.83,2020-08-04
62,MAIN,2020-06-30,20.85,2020-08-06
21,ARCC,2020-09-30,16.48,2020-10-27
61,MAIN,2020-09-30,21.52,2020-11-05
20,ARCC,2020-12-31,16.97,2021-02-10
60,MAIN,2020-12-31,22.35,2021-02-25
19,ARCC,2021-03-31,17.45,2021-04-27
59,MAIN,2021-03-31,22.65,2021-05-06
18,ARCC,2021-06-30,18.12,2021-07-27
58,MAIN,2021-06-30,23.42,2021-08-05
17,ARCC,2021-09-30,18.52,2021-10-26
57,MAIN,2021-09-30,24.27,2021-11-04
16,ARCC,2021-12-31,18.96,2022-02-09
56,MAIN,2021-12-31,25.29,2022-02-24
15,ARCC,2022-03-31,19.03,2022-04-26
55,MAIN,2022-03-31,25.89,2022-05-05
14,ARCC,2022-06-30,18.81,2022-07-26
54,MAIN,2022-06-30,25.37,2022-08-04
13,ARCC,2022-09-30,18.56,2022-10-25
53,MAIN,2022-09-30,25.94,2022-11-03
12,ARCC,2022-12-31,18.4,2023-02-07
52,MAIN,2022-12-31,26.86,2023-02-23
11,ARCC,2023-03-31,18.45,2023-04-25
51,MAIN,2023-03-31,27.23,2023-05-04
10,ARCC,2023-06-30,18.58,2023-07-25
50,MAIN,2023-06-30,27.69,2023-08-03
9,ARCC,2023-09-30,18.99,2023-10-24
49,MAIN,2023-09-30,28.33,2023-11-02
8,ARCC,2023-12-31,19.24,2024-02-07
48,MAIN,2023-12-31,29.2,2024-02-22
7,ARCC,2024-03-31,19.53,2024-05-01
47,MAIN,2024-03-31,29.54,2024-05-09
6,ARCC,2024-06-30,19.61,2024-07-30
46,MAIN,2024-06-30,29.8,2024-08-08
5,ARCC,2024-09-30,19.74,2024-10-30
45,MAIN,2024-09-30,29.8,2024-11-07
4,ARCC,2024-12-31,19.89,2025-02-05
44,MAIN,2024-12-31,30.54,2025-02-20
3,ARCC,2025-03-31,19.82,2025-04-29
43,MAIN,2025-03-31,30.57,2025-05-08
2,ARCC,2025-06-30,19.9,2025-07-29
42,MAIN,2025-06-30,30.58,2025-08-07
1,ARCC,2025-09-30,20.01,2025-10-28
41,MAIN,2025-09-30,30.65,2025-11-06
0,ARCC,2025-12-31,19.94,2026-02-04
40,MAIN,2025-12-31,30.7,2026-02-20
